"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000050693","760702482374","","","","footie taupe mushroom 10-13 maggie's","5","$19.30","$3.86","$7.99","51.69%"
"210000050695","760702482367","","","","footie taupe mushroom 9-11 maggie's","3","$11.58","$3.86","$7.99","51.69%"
"210000050825","813199010725","","","","Toilet Paper Green2  Bath Tissue Tree Free Single","14","$26.74","$1.91","$2.99","36.12%"
"210000051064","871242000932","","G 180","","African Market Basket Bicycle","3","$90.00","$30.00","$45.99","34.77%"
"210000051081","","","","895454002638","Better Life Tub & Tile Cleaner 32floz","4","$17.24","$4.31","$7.99","46.06%"
"210000051147","871242001137","","G-133","","African Market Basket  Mini Tote G-133","1","$18.00","$18.00","$32.00","43.75%"
"210000051269","732913137336","","","","Seventh Generation 100% Recycled Bath Tissue 12 Pack 2 Ply","6","$68.82","$11.47","$17.99","36.24%"
"210000051441","736902284490","","","","Terra Mask 2ct KIDS","3","$13.20","$4.40","$5.00","12%"
"210000051516","","","","","Ball Mason Jar 4oz Quilted Jelly Jars single","13","$15.73","$1.21","$1.89","35.98%"
"210000051628","796515830002","","","","New Wave SafeBowl Stainless Steal 16oz Double Wall Bowl - Blue","2","$25.48","$12.74","$16.74","23.89%"
"210000051810","897067002203","","","","Rebel Green Cleaner Spray Fruit & Veggie 17 oz","3","$10.95","$3.65","$6.49","43.76%"
"210000051817","619011956116","","","","Terra Face Cover with Hood Large","1","$13.75","$13.75","$9.99","-37.64%"
"210000051891","760702282288","","","","wool snuggle penguin blue  socks LARGE maggie's","2","$21.26","$10.63","$17.99","40.91%"
"210000051893","760702282271","","","","wool snuggle penguin blue socks MEDIUM maggie's","3","$31.89","$10.63","$17.99","40.91%"
"210000052027","850013249084","","","","Eco Vessel S.S. Insulated Mug Transit12 oz","1","$10.62","$10.62","$18.99","44.08%"
"210000052029","702865477811","","","","Eco Vessel S.S. Insulated Bottle Aspen Rose Gold Water to Wine 25 oz","2","$29.60","$14.80","$20.39","27.42%"
"210000052031","702865478405","","","","Eco Vessel S.S. Insulated Bottle Perk  Black Shawdow  w/lock top 20 oz","1","$12.32","$12.32","$19.99","38.37%"
