"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000065647","076970221882","","","","Heritage Cotton Flannel 13""x 15""","2","$19.44","$9.72","$16.99","42.79%"
"210000065793","851571006935","","","","bar soap goat's milk peppermint 5oz honey sweetie acres","3","$12.96","$4.32","$8.99","51.95%"
"210000065859","786648012017","","","","Neem Aura Concentrated Neem Cream","3","$29.04","$9.68","$18.99","49.03%"
"210000065936","860007113826","","","","toothbrush bamboo rainbow LGBTQ equality","6","$16.56","$2.76","$5.99","53.92%"
"210000065938","860007113833","","","","toothbrush bamboo ocean conservation","6","$16.56","$2.76","$5.99","53.92%"
"210000065940","0860007113819","","","","laundry sheets sls free for sensitive skin","9","$48.42","$5.38","$10.99","51.05%"
"210000066036","603225400541","","603225400541","","Four Elements Lip Balm Calendula Orange","10","$24.00","$2.40","$3.99","39.85%"
"210000066051","810082710137","","","","Rose Bouqet Body Soap 5 oz New Day Organics","3","$18.81","$6.27","$15.99","60.79%"
"210000066053","810082710113","","","","Lavender Pine Body Soap 5 oz New Day Organics","2","$12.54","$6.27","$15.99","60.79%"
"210000066055","810082710090","","","","Naked Triple Butter Body Soap 5 oz New Day Organics","3","$18.81","$6.27","$15.99","60.79%"
"210000066057","810082710151","","","","Healing Hands Balm .85 oz New Day Organics","3","$15.81","$5.27","$14.99","64.84%"
"210000066061","810082710144","","","","Lip Rescue Balm .18oz New Day Organics","2","$16.54","$8.27","$17.99","54.03%"
"210000066065","810082710199","","","","Evening Peace Body Oil 2 oz New Day Organics","2","$58.54","$29.27","$38.99","24.93%"
"210000066067","810082710175","","","","Morning Joy Body Oil 2 oz New Day Organics","2","$58.54","$29.27","$38.99","24.93%"
"210000066069","810082710205","","","","Winter Soltice Body Oil 2 oz New Day Organics","2","$58.54","$29.27","$38.99","24.93%"
"210000066071","810082710168","","","","Sore Muscle & Joint Rub New Day Organics","4","$73.08","$18.27","$27.99","34.73%"
"210000066073","","","","","Lavender & Tea tree Deodorant New Day Organics","1","$7.27","$7.27","$16.99","57.21%"
"210000066075","","","","","Unscented Deodorant New Day Organics","1","$7.27","$7.27","$16.99","57.21%"
"210000066077","","","","","Charcoal Deodorant New Day Organics","1","$7.27","$7.27","$16.99","57.21%"
"210000066079","","","","","Citrus Grove Deodorant New Day Organics","1","$7.27","$7.27","$16.99","57.21%"
"210000066081","","","","","Essential Facial Cream 1 oz New Day Organics","1","$45.28","$45.28","$59.00","23.25%"
"210000066083","","","","","Glow Facial Serum1 oz New Day Organics","1","$38.28","$38.28","$49.00","21.88%"
"210000066105","810082710229","","","","Winter Solstice Body Soap 5 oz New Day Organics","2","$22.40","$11.20","$16.99","34.08%"
"210000066111","","","","","Olive Wood Soap Tray New Day Organics","3","$15.63","$5.21","$10.00","47.9%"
"210000066115","076970729746","","","","Heritage Castor Serum Brow & Lash 1 oz","1","$12.65","$12.65","$21.00","39.76%"
"210000066151","850026948271","","","","WYLD CBD + CBC Gummies 10 ct Peach","1","$12.50","$12.50","$21.89","42.9%"
"210000066274","859975002218","","","","Andalou Naturals Cleansing Milk Apricot","1","$9.57","$9.57","$15.99","40.15%"
